4;Ponta do Costa Airport;RJ;Cabo Frio
5;Nova Jacuí Airport;RS;Salto do Jacuí
6;Tucumã Airport;PA;Tucumã
7;Alexânia Municipal Airport;GO;Alexânia
8;Fazenda Trescinco Juruena Airport;MT;Alta Floresta
9;Bonfim Airport;RR;Bonfim
10;Fazenda Montenegro Airport;PA;Chaves
11;Punto do Carmo Airport;PA;Chaves
12;Afuá Municipal Airport;PA;Afuá
13;Anajás Airport;PA;Anajás
14;Povoado Airport;PA;Salvaterra
15;Campo Limpo Airport;PA;Santo Antônio
16;Cametá Airport;PA;Cametá
17;Divinópolis de Goiás Airport;GO;Divinópolis de Goiás
18;Cedrolândia Airport;PA;Senador José Porfírio
19;Fazenda Primavera;GO;Aporé
20;Itaruma Airport;GO;Itaruma
21;Cachoeira Alta Airport;GO;Cachoeira Alta
22;Aerocéu Aviação Agrícola Airport;GO;Chapadão do Céu
23;Old Rondonópolis Airport;MT;Rondonópolis
24;Fazenda Santa Rita Airport;GO;Itapirapuã
25;Novo Planalto Airport;GO;Novo Planalto
26;Teresina de Goiás Airport;CE;Teresina de Goiás
27;Caçu Airport;GO;Caçu
28;Fazenda Vale do Sol Airport;MS;Serranópolis
29;Baliza Airport;GO;Baliza
30;Bom Jardim de Goiás Airport;GO;Bom Jardim de Goiás
31;Piranhas Airport;GO;Piranhas
32;Caiapônia Airport;GO;Caiapônia
33;Tesouro Airport;MT;Tesouro
34;Guiratinga Airport;MT;Guiratinga
35;Guiratinga 2 Airport;MT;Guiratinga
36;Torixoréu Northwest Airport;MT;Torixoréu
37;Anicuns Airport;GO;Anicuns
38;Fazenda Água Fria Airfield;PA;Xinguara
39;Banaer Airport;SP;Sete Barras
40;Luiz Ribeiro Maia Airport;AM;Tapauá
41;Santo Antônio do Içá Airport;AM;Santo Antônio do Içá
42;Anori Airport;AM;Anori
43;Fordlândia Airport;PA;Fordlândia
44;Linha-dura Airport;PA;Medicilândia
45;Medicilândia Airport;PA;Medicilândia
46;São Luiz Airport;RR;São Luiz
47;Presidente Figueiredo Airport;AM;Presidente Figueiredo
48;Itapiranga Airport;AM;Itapiranga
49;Faro Airport;PA;Faro
50;Curuai Airport;PA;Curuai
51;Alta Floresta D'Oeste Airport;RO;Alta Floresta D'Oeste
52;Rolim de Moura Airport;RO;Rolim de Moura
53;São Miguel do Guaporé Airport;RO;São Miguel do Guaporé
54;Rondolândia Airport;MT;Rondolândia
55;Jaru Airport;RO;Jaru
56;Extrema Airport;RO;Extrema
57;Colorado do Oeste Airport;RO;Colorado do Oeste
58;Cerejeiras Airport;RO;Cerejeiras
59;Pimenteiras do Oeste Airport;RO;Pimenteiras do Oeste
60;Associação Aerodesportivo de Espigão d'Oeste Airport;RO;Espigão d'Oeste
61;Pixaim Airport;MT;Pixaim
62;Nova Mamoré Airport;RO;Nova Mamoré
63;Aeroclube de Buritis Airport;RO;Buritis
64;Guaraí Airport;TO;Guaraí
65;Presidente Kennedy Airport;TO;Presidente Kennedy
66;Brasilândia do Tocantins Airport;TO;Brasilândia do Tocantins
67;Colinas do Tocantins Airport;TO;Colinas do Tocantins
68;Nova Olinda Airport;TO;Nova Olinda
69;Tocantinópolis Airport;TO;Tocantinópolis
70;Fazenda Curitiba Airport;BA;Correntina
71;Fazenda Agrovera Airport;MT;Porto dos Gaúchos
72;Fazenda Santa Lucia Airport;PA;Santa Maria das Barreiras
73;Brasnorte Airport;MT;Brasnorte
74;Brianorte Airport;MT;Brianorte
75;Montes Altos Airport;MA;Montes Altos
76;Vitorino Freire Airport;MA;Vitorino Freire
77;Zé Doca Airport;MA;Zé Doca
78;Chapadinha Airport;MA;Chapadinha
79;Esperantina Airport;PI;Esperantina
80;Santa Quitéria do Maranhão Airport;MA;Santa Quitéria do Maranhão
81;Piripiri Airport;PI;Piripiri
82;Santa Quitéria Airport;CE;Santa Quitéria
83;Taiobeiras Municipal Airport;MG;Taiobeiras
84;Castanheira Airport;MT;Castanheira
85;Colniza Airport;MT;Colniza
86;Machadinho d'Oeste Airport;RO;Machadinho d'Oeste
87;Cunatama Airport;AM;Cunatama
